IPO 기업명,IPO일자,공모총액(USD),공모시총(USD),참여 코너스톤 투자자 기관수,코너스톤 투자자 배정 총액(USD),코너스톤 배정 비율(%),참여 코너스톤 투자자명(배정비중순),stock_code
BrainAurora Medical Technology Limited - B,2025-01-08,74993072,,4,48500000,64.67,"Suzhou Ceyuan Fuhai Enterprise Management Partnership (Limited Partnership), Tasly (International) Healthcare Investment & Development Company Limited, Tasly (Hong Kong) Pharmaceutical Investment Limited, Mr. Huang Guangwei",06681
"Anhui Conch Material Technology Co., Ltd. - H shares",2025-01-09,55908463,,6,41164836,73.63,"Anhui Shengchang Chemical Co., Ltd., Shenzhen Gaodeng Computer Technology Co., Ltd., Wuhu Artec Biotechnology Co., Ltd., Gotion High-tech Co., Ltd., SCGC Capital Holding Company Limited (Shenzhen Capital Group), Guangdong Zongxing Technology Co., Ltd",02560
"ContiOcean Environment Tech Group Co., Ltd. - H shares",2025-01-09,40878344,,1,10000000,24.46,Harvest International Premium Value (Secondary Market) Fund SPC (Harvest Oriental SP),02613
Bloks Group Limited,2025-01-10,247375660,,4,50000000,20.21,"Greenwoods (HK Greenwoods), UBS AM Singapore, Fullgoal Fund, Fullgoal HK",00325
Numans Health Food Holdings Company Limited,2025-01-10,25699970,,0,0,0.0,,02530
New Gonow Recreational Vehicles Inc.,2025-01-13,39146685,,0,0,0.0,,00805
"Yibin City Commercial Bank Co., Ltd - H Shares",2025-01-13,228992181,,0,0,0.0,,02596
"Beijing Saimo Technology Co., Ltd. - H shares",2025-01-15,55605606,,1,19070245,34.3,China Mobile International Holdings Limited,02571
Guming Holdings Limited,2025-02-12,260593174,,5,71000000,27.25,"Huang River Investment Limited (Tencent), LVC (Golden Valley Global Limited + Golden Valley Value Select Master Fund), GM Charm Yield (BVI) Limited, Duckling Fund, L.P., Long-Z Fund I, LP",01364
MIXUE Group - H shares,2025-03-03,510792610,,5,200000000,39.15,"M&G Investments, HongShan Growth, Persistence Growth Limited (Boyu Capital), HHLR Fund, L.P., Long-Z Fund I, LP",02097
"Chifeng Jilong Gold Mining Co., Ltd. - H shares",2025-03-10,417538756,,0,0,0.0,,06693
VISEN Pharmaceuticals -B,2025-03-21,100775543,,5,72000000,71.45,"AnkeBio (Hong Kong) Co., Limited, Suzhou Harvest International Co., Limited, Vivo Capital, WuXi Biologics HealthCare Venture, Reynold Lemkins Group (Asia) Limited",02561
Nanshan Aluminium International Holdings Limited,2025-03-25,306017014,,4,120225107,39.29,"Hongkong Topway Trading Co., Limited (Xiamen Xiangyu), Glencore International AG, Reijong International Industrial Equipment (HK) Limited, PT Indika Energy Tbk. (via PT Perkasa Investama Mineral)",02610
Soft International Group Ltd,2025-03-27,16397026,,0,0,0.0,,02569
Jiangsu Horizon Chain Supermarket Company Limited - H shares,2025-03-31,17212546,,2,9215543,53.54,"Infore Holding (Hong Kong) Limited, Sino Top Trading Limited (Huabao)",02625
"Jiangsu Zenergy Battery Technologies Group Co., Ltd.- H shares",2025-04-14,129578735,,3,79900000,61.66,"Southeast Investment Holding (Changshu), Suzhou High-end Equipment Fund, Jiangsu Mixed Ownership Reform Fund",03677
